Borough,Neighborhood,Latitude,Longitude,Population
Bronx,Wakefield,40.89470517661,-73.84720052054902,29158.0
Bronx,Co-op City,40.87429419303012,-73.82993910812398,43752.0
Bronx,Fieldston,40.89543742690383,-73.90564259591682,3292.0
Bronx,Riverdale,40.890834493891305,-73.9125854610857,48049.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,10669.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,9481.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,42483.0
Bronx,Norwood,40.87722415599446,-73.8793907395681,40494.0
Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,61321.0
Bronx,Baychester,40.866858107252696,-73.83579759808117,63345.0
Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,30073.0
Bronx,Bedford Park,40.870185164975325,-73.8855121841913,37344.0
Bronx,University Heights,40.85572707719664,-73.9104159619131,25702.0
Bronx,University Heights,40.85572707719664,-73.9104159619131,25702.0
Bronx,Morris Heights,40.84789792606271,-73.91967159119565,36779.0
Bronx,Fordham,40.86099679638654,-73.89642655981623,43394.0
Bronx,East Tremont,40.84269615786053,-73.88735617532338,43423.0
Bronx,West Farms,40.83947505672653,-73.87774474910545,4700.0
Bronx,Melrose,40.819754370594936,-73.90942160757436,24913.0
Bronx,Mott Haven,40.80623874935177,-73.91609987487575,52413.0
Bronx,Port Morris,40.801663627756206,-73.91322139386135,3523.0
Bronx,Longwood,40.81509904545822,-73.8957882009446,26196.0
Bronx,Hunts Point,40.80972987938709,-73.88331505955291,12281.0
Bronx,Morrisania,40.82359198585534,-73.90150648943059,16863.0
Bronx,Soundview,40.821012197914015,-73.86574609554924,31825.0
Bronx,Clason Point,40.80655112003589,-73.85414416189266,9136.0
Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,21009.0
Bronx,Parkchester,40.837937822267286,-73.85600310535783,40358.0
Bronx,Belmont,40.85727710073895,-73.88845196134804,27378.0
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,10279.0
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,11931.0
Bronx,Castle Hill,40.819014376988314,-73.84802729582735,38557.0
Bronx,Olinville,40.87137078192371,-73.86332361652777,61321.0
Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223,15388.0
Bronx,Unionport,40.82977429787161,-73.85053524451935,38557.0
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,79371.0
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,151705.0
Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,151705.0
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,126000.0
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,34719.0
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,29436.0
Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,29436.0
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,35547.0
Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,105804.0
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,143000.0
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,143000.0
Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,135619.0
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,20988.0
Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269,67645.0
Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,58300.0
Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,78700.0
Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,129239.0
Brooklyn,Brooklyn Heights,40.695863722724084,-73.99378225496424,20256.0
Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,12853.0
Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,28335.0
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,67645.0
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,83693.0
Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,64762.0
Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,45231.0
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,24711.0
Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,29931.0
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,106357.0
Brooklyn,Dyker Heights,40.619219457722636,-74.01931375636022,42419.0
Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,45231.0
Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,34791.0
Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,99287.0
Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317,45231.0
Brooklyn,Midwood,40.62559589869843,-73.95759523489838,52835.0
Brooklyn,Midwood,40.62559589869843,-73.95759523489838,52835.0
Brooklyn,Georgetown,40.62384524478419,-73.91607483951324,45231.0
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,47844.0
Manhattan,Chinatown,40.71561842231432,-73.99427936255978,47844.0
Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,201590.0
Manhattan,Inwood,40.86768396449915,-73.92121042203897,58946.0
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,47531.0
Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,40568.0
Manhattan,East Harlem,40.79224946663033,-73.94418223148524,115921.0
Manhattan,Upper East Side,40.775638573301805,-73.96050763135,124231.0
Manhattan,Yorkville,40.775929849884875,-73.94711784471826,35221.0
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,214744.0
Manhattan,Clinton,40.75910089146212,-73.99611936309479,45884.0
